stratum,omitted_psu,m,n,events,prevalence,auc,pr_auc,brier,calibration_intercept,calibration_slope,group
183.0,2.0,2,2513,207,0.058421020620416535,0.7741069670711236,0.24218212276037174,0.050108596259677195,-0.46645744902560865,0.8040912703580583,male
185.0,2.0,2,2518,215,0.059180474376053116,0.7660889694203656,0.2309146860672251,0.05139999225076949,-0.5205937402754759,0.7721159443412041,male
185.0,1.0,2,2502,209,0.056646309564866125,0.7700943609057672,0.2371966619877046,0.04887391929672106,-0.5095666971708678,0.7970552597477116,male
186.0,1.0,2,2518,214,0.05729043295278398,0.7664198827283007,0.23686694792414045,0.049376903533361514,-0.48195831392939253,0.8021445247014809,male
186.0,2.0,2,2509,215,0.0585264455598285,0.7697658172933501,0.23225875408537475,0.050882892266375365,-0.5438173354938084,0.7685316839341736,male
180.0,1.0,2,2476,209,0.0587563447072135,0.7698364223354585,0.2360557608541111,0.05075298723642545,-0.4777663577109593,0.7877982460403015,male
180.0,2.0,2,2500,211,0.057051796064745385,0.7664170712118104,0.2321357462461273,0.0495097973497939,-0.5530103518973583,0.7811229911213602,male
175.0,2.0,2,2472,204,0.05673150803842855,0.7574890372671532,0.21911681524399573,0.049767897210654014,-0.6048586011261471,0.7559928400863977,male
175.0,1.0,2,2486,213,0.05909899591763849,0.778118963386925,0.24814063152732266,0.05051348328247712,-0.4299329348012524,0.8114033299149059,male
187.0,2.0,2,2500,208,0.057999673436675434,0.7641679633855203,0.22620897168061677,0.05064666339355139,-0.5572677799528195,0.7657452298818036,male
187.0,1.0,2,2536,213,0.05783751346798178,0.771881746819332,0.24148583811687105,0.04964367580598245,-0.47430180876307626,0.8026110831523233,male
